trip_id,start_date,subscriber_type,start_station_name,start_station_id
1107246,2016-02-26 13:00:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1076126,2016-01-29 13:42:00.000000 UTC,Subscriber,Kaiser Hospital,26
1090151,2016-02-11 12:13:00.000000 UTC,Subscriber,Kaiser Hospital,26
1119905,2016-03-09 13:02:00.000000 UTC,Subscriber,Kaiser Hospital,26
1111250,2016-03-01 16:19:00.000000 UTC,Subscriber,Kaiser Hospital,26
1060759,2016-01-14 07:56:00.000000 UTC,Subscriber,Mezes,83
1113479,2016-03-02 20:20:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1099264,2016-02-19 18:08:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1113481,2016-03-02 20:20:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1065671,2016-01-20 12:07:00.000000 UTC,Subscriber,San Mateo County Center,23
1096282,2016-02-17 12:35:00.000000 UTC,Subscriber,San Mateo County Center,23
1058396,2016-01-12 11:33:00.000000 UTC,Subscriber,San Mateo County Center,23
1112728,2016-03-02 13:05:00.000000 UTC,Subscriber,San Mateo County Center,23
1108107,2016-02-27 11:46:00.000000 UTC,Subscriber,Redwood City Public Library,24
1082597,2016-02-04 21:41:00.000000 UTC,Subscriber,Redwood City Public Library,24
1130970,2016-03-21 07:49:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1069514,2016-01-25 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1106738,2016-02-26 08:00:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1139125,2016-03-28 08:00:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1110474,2016-03-01 07:57:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1079972,2016-02-03 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1124573,2016-03-15 08:55:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1089902,2016-02-11 09:19:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1142247,2016-03-30 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1140664,2016-03-29 07:57:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1096974,2016-02-18 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1117975,2016-03-08 07:57:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1119430,2016-03-09 07:55:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1075714,2016-01-29 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1094129,2016-02-16 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1133827,2016-03-23 07:55:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1071102,2016-01-26 08:01:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1086529,2016-02-09 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1098393,2016-02-19 07:55:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1129020,2016-03-18 07:57:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1082722,2016-02-05 07:55:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1115086,2016-03-04 07:55:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1051688,2016-01-05 07:57:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1059384,2016-01-13 08:02:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1125955,2016-03-16 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1081377,2016-02-04 07:55:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1108940,2016-02-29 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1100412,2016-02-22 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1102101,2016-02-23 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1100604,2016-02-22 08:47:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1132282,2016-03-22 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1116538,2016-03-07 07:53:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1084980,2016-02-08 07:58:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1062088,2016-01-15 09:15:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1127647,2016-03-17 08:22:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1077384,2016-02-01 08:00:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1066683,2016-01-21 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1105249,2016-02-25 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1136959,2016-03-25 07:57:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1140818,2016-03-29 08:35:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1054802,2016-01-08 07:55:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1072641,2016-01-27 07:58:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1068066,2016-01-22 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1095844,2016-02-17 08:29:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1056489,2016-01-11 07:58:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1113709,2016-03-03 07:58:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1060756,2016-01-14 07:54:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1135530,2016-03-24 08:23:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1108250,2016-02-27 15:47:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1088067,2016-02-10 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1103697,2016-02-24 07:58:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1057941,2016-01-12 08:01:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1120837,2016-03-10 07:58:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1122862,2016-03-14 08:00:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1064194,2016-01-19 07:54:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1091123,2016-02-12 07:55:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1089597,2016-02-11 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1127553,2016-03-17 07:57:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1135442,2016-03-24 07:56:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1065176,2016-01-20 07:58:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1126893,2016-03-16 17:06:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1097850,2016-02-18 17:11:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1127856,2016-03-17 09:20:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1135291,2016-03-24 05:45:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1108804,2016-02-29 06:20:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1138946,2016-03-28 06:15:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1130870,2016-03-21 06:18:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1115053,2016-03-04 07:40:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1083449,2016-02-05 16:34:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1103967,2016-02-24 09:16:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1073071,2016-01-27 09:58:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
